,date,app,spend
133,8/12/2020,PrivacyPowerPro_K,184630.5994
134,8/12/2020,Mars_K,104299.5065
135,8/12/2020,Normandy_K,87295.40791000001
136,8/12/2020,ColorPhone_K,75582.75098
137,8/12/2020,FastClear_K,72626.71353
138,8/12/2020,Amber_K,2839.708398
139,8/12/2020,DogRaise_K,8645.28684
140,8/12/2020,Optimizer_K,326587.9163
141,8/12/2020,Walk_K,575.6575657000002
142,8/12/2020,Athena,4001.907475
143,8/13/2020,Rat_K,6886.59
144,8/13/2020,Optimizer_K,268981.262
145,8/13/2020,FastClear_K,67795.46
146,8/13/2020,500_K,69180.68
147,8/13/2020,PrivacyPowerPro_K,175887.23
148,8/13/2020,Amber_K,870.57
149,8/13/2020,Athena,3997.49
150,8/13/2020,Mars_K,133327.94
151,8/13/2020,Normandy_K,95288.77
152,8/13/2020,ColorPhone_K,82161.75
153,8/13/2020,Walk_K,421.18
154,8/13/2020,DogRaise_K,8695.24
155,8/14/2020,DogRaise_K,8269.438429
156,8/14/2020,Walk_K,742.8438111
157,8/14/2020,Normandy_K,133591.3163
158,8/14/2020,500_K,66871.88106
159,8/14/2020,Optimizer_K,234685.3402
160,8/14/2020,Space_K,0.0
161,8/14/2020,ColorPhone_K,91073.67047
162,8/14/2020,Amber_K,2528.836586
163,8/14/2020,FastClear_K,55405.69613
164,8/14/2020,PrivacyPowerPro_K,160562.1124
165,8/14/2020,Athena,3996.987338
166,8/14/2020,Rat_K,8253.060690999999
167,8/14/2020,Mars_K,136891.8581
168,8/15/2020,Space_K,0.0
169,8/15/2020,PrivacyPowerPro_K,118319.6441
170,8/15/2020,ColorPhone_K,96193.59416
171,8/15/2020,Athena,3501.088442
172,8/15/2020,Optimizer_K,296816.8683
173,8/15/2020,Mars_K,130230.8025
174,8/15/2020,500_K,76681.08967
175,8/15/2020,Amber_K,2580.612707
176,8/15/2020,Rat_K,5363.852639
177,8/15/2020,Normandy_K,140999.1799
178,8/15/2020,DogRaise_K,6578.508841
179,8/15/2020,FastClear_K,48398.14001
180,8/15/2020,Walk_K,977.9405206
181,8/16/2020,FastClear_K,50941.16
182,8/16/2020,PrivacyPowerPro_K,116369.83
183,8/16/2020,Space_K,0.0
184,8/16/2020,DogRaise_K,9482.35
185,8/16/2020,Normandy_K,104205.48
186,8/16/2020,Athena,3333.05
187,8/16/2020,Optimizer_K,357871.2570000001
188,8/16/2020,Walk_K,897.72
189,8/16/2020,Rat_K,4799.13
190,8/16/2020,ColorPhone_K,101194.81
191,8/16/2020,Mars_K,146584.83800000002
192,8/16/2020,Amber_K,1863.34
193,8/16/2020,500_K,75369.16
194,8/17/2020,Optimizer_K,201774.51
195,8/17/2020,Mars_K,132792.499
196,8/17/2020,ColorPhone_K,92847.5
197,8/17/2020,500_K,60615.37
198,8/17/2020,Athena,3996.84
199,8/17/2020,DogRaise_K,8065.58
200,8/17/2020,Rat_K,7147.75
201,8/17/2020,Amber_K,2191.99
202,8/17/2020,Walk_K,1592.24
203,8/17/2020,PrivacyPowerPro_K,116119.43
204,8/17/2020,Space_K,0.0
205,8/17/2020,Normandy_K,125010.17
206,8/17/2020,FastClear_K,31163.04
207,8/18/2020,500_K,59135.69
208,8/18/2020,Mars_K,120284.751
209,8/18/2020,Rat_K,6489.81
210,8/18/2020,Athena,3998.49
211,8/18/2020,ColorPhone_K,91907.15
212,8/18/2020,Optimizer_K,161242.738
213,8/18/2020,PrivacyPowerPro_K,113126.05
214,8/18/2020,Walk_K,631.61
215,8/18/2020,Normandy_K,105431.0
216,8/18/2020,DogRaise_K,5213.19
217,8/18/2020,Amber_K,2288.75
218,8/18/2020,Space_K,0.0
219,8/18/2020,FastClear_K,24630.76
220,8/19/2020,FastClear_K,23124.13677
221,8/19/2020,ColorPhone_K,117160.45
222,8/19/2020,DogRaise_K,7189.21
223,8/19/2020,500_K,78849.1479
224,8/19/2020,PrivacyPowerPro_K,131327.3594
225,8/19/2020,Space_K,0.0
226,8/19/2020,Rat_K,8778.87
227,8/19/2020,Normandy_K,154429.2762
228,8/19/2020,Optimizer_K,199559.5526
229,8/19/2020,Amber_K,4657.257727
230,8/19/2020,Mars_K,103144.4988
231,8/19/2020,Athena,3132.57
232,8/19/2020,Walk_K,1893.639894
233,8/20/2020,Athena,2373.17
234,8/20/2020,FastClear_K,35673.61
235,8/20/2020,Optimizer_K,201425.867
236,8/20/2020,DogRaise_K,12718.5
237,8/20/2020,Rat_K,6491.21
238,8/20/2020,Space_K,0.0
