,date,app,earnings
0,8/1/2020,500_K,173916.2362
1,8/1/2020,Amber_K,2560.204233
2,8/1/2020,Athena,2303.224058
3,8/1/2020,ColorPhone_K,120128.6296
4,8/1/2020,DogRaise_K,9859.823312
5,8/1/2020,FastClear_K,21591.71332
6,8/1/2020,Mars_K,161675.5621
7,8/1/2020,Normandy_K,54921.672589999995
8,8/1/2020,Optimizer_K,203052.9246
9,8/1/2020,PrivacyPowerPro_K,72850.98989
10,8/1/2020,Rat_K,9101.44998
11,8/1/2020,Space_K,363756.4737
12,8/1/2020,Speed_K,382.26474
13,8/1/2020,Walk_K,4820.164048
14,8/2/2020,500_K,170486.6081
15,8/2/2020,Amber_K,2087.313675
16,8/2/2020,Athena,2479.368976
17,8/2/2020,ColorPhone_K,119015.2467
18,8/2/2020,DogRaise_K,9389.525637
19,8/2/2020,FastClear_K,23046.760140000002
20,8/2/2020,Mars_K,155569.3251
21,8/2/2020,Normandy_K,52559.817189999994
22,8/2/2020,Optimizer_K,226232.4192
23,8/2/2020,PrivacyPowerPro_K,78311.35178
24,8/2/2020,Rat_K,9129.660161
25,8/2/2020,Space_K,362689.4876
26,8/2/2020,Speed_K,408.1968792
27,8/2/2020,Walk_K,4365.547868
28,8/3/2020,500_K,168201.8264
29,8/3/2020,Amber_K,2074.125533
30,8/3/2020,Athena,2566.1008899999997
31,8/3/2020,ColorPhone_K,123044.0977
32,8/3/2020,DogRaise_K,9152.514811
33,8/3/2020,FastClear_K,25191.58564
34,8/3/2020,Mars_K,151257.211
35,8/3/2020,Normandy_K,52907.037469999996
36,8/3/2020,Optimizer_K,218622.2744
37,8/3/2020,PrivacyPowerPro_K,76856.07967
38,8/3/2020,Rat_K,9136.41293
39,8/3/2020,Space_K,360241.9345
40,8/3/2020,Speed_K,456.76566299999996
41,8/3/2020,Walk_K,4103.759656
42,8/4/2020,500_K,163761.4191
43,8/4/2020,Amber_K,2307.2045329999996
44,8/4/2020,Athena,2833.854398
45,8/4/2020,ColorPhone_K,122389.8976
46,8/4/2020,DogRaise_K,9615.190920000001
47,8/4/2020,FastClear_K,28544.6863
48,8/4/2020,Mars_K,155544.8355
49,8/4/2020,Normandy_K,53390.90919
50,8/4/2020,Optimizer_K,212978.9448
51,8/4/2020,PrivacyPowerPro_K,80562.88854
52,8/4/2020,Rat_K,9887.331195
53,8/4/2020,Space_K,358462.0575
54,8/4/2020,Speed_K,455.8072908
55,8/4/2020,Walk_K,3869.342618
56,8/5/2020,500_K,160950.995
57,8/5/2020,Amber_K,2189.000009
58,8/5/2020,Athena,2346.924482
59,8/5/2020,ColorPhone_K,121713.475
60,8/5/2020,DogRaise_K,9499.77392
61,8/5/2020,FastClear_K,27461.83178
62,8/5/2020,Mars_K,154735.4256
63,8/5/2020,Normandy_K,53819.06299
64,8/5/2020,Optimizer_K,207941.9979
65,8/5/2020,PrivacyPowerPro_K,86066.71388
66,8/5/2020,Rat_K,9690.63429
67,8/5/2020,Space_K,373486.1756
68,8/5/2020,Speed_K,511.60209519999995
69,8/5/2020,Walk_K,3873.271147
70,8/6/2020,500_K,155562.7712
71,8/6/2020,Amber_K,1950.821251
72,8/6/2020,Athena,2111.023906
73,8/6/2020,ColorPhone_K,120191.9581
74,8/6/2020,DogRaise_K,9897.447186
75,8/6/2020,FastClear_K,27221.575010000004
76,8/6/2020,Mars_K,156423.5326
77,8/6/2020,Normandy_K,59246.51795
78,8/6/2020,Optimizer_K,208002.3938
79,8/6/2020,PrivacyPowerPro_K,93970.98443
80,8/6/2020,Rat_K,9756.883133
81,8/6/2020,Space_K,362702.1669
82,8/6/2020,Speed_K,462.92771060000007
83,8/6/2020,Walk_K,3715.1449439999997
84,8/7/2020,500_K,155677.3806
85,8/7/2020,Amber_K,1907.347016
86,8/7/2020,Athena,3025.901187
87,8/7/2020,ColorPhone_K,125510.2435
88,8/7/2020,DogRaise_K,9382.479359
89,8/7/2020,FastClear_K,32259.168410000002
90,8/7/2020,Mars_K,151310.9087
91,8/7/2020,Normandy_K,75538.09827
92,8/7/2020,Optimizer_K,241592.4162
93,8/7/2020,PrivacyPowerPro_K,121290.3955
94,8/7/2020,Rat_K,9565.699
95,8/7/2020,Space_K,381130.92299999995
96,8/7/2020,Speed_K,446.2797867
97,8/7/2020,Walk_K,3349.431589000001
98,8/8/2020,500_K,151319.4486
99,8/8/2020,Amber_K,2053.148225
100,8/8/2020,Athena,3022.331871
101,8/8/2020,ColorPhone_K,121845.8437
102,8/8/2020,DogRaise_K,10400.47399
103,8/8/2020,FastClear_K,45747.99483
104,8/8/2020,Mars_K,149571.0398
105,8/8/2020,Normandy_K,73081.67989
106,8/8/2020,Optimizer_K,232480.3335
107,8/8/2020,PrivacyPowerPro_K,125642.5703
108,8/8/2020,Rat_K,10523.22355
109,8/8/2020,Space_K,343855.9179
110,8/8/2020,Speed_K,483.03000610000015
111,8/8/2020,Walk_K,3400.410129
112,8/9/2020,500_K,153480.7085
113,8/9/2020,Amber_K,2290.601236
114,8/9/2020,Athena,3007.398956
115,8/9/2020,ColorPhone_K,120296.9938
116,8/9/2020,DogRaise_K,10235.891940000001
117,8/9/2020,FastClear_K,44700.0312
118,8/9/2020,Mars_K,156704.6572
119,8/9/2020,Normandy_K,70835.21358
120,8/9/2020,Optimizer_K,243460.9049
121,8/9/2020,PrivacyPowerPro_K,140911.8954
122,8/9/2020,Rat_K,11168.894890000001
123,8/9/2020,Space_K,347160.6316
124,8/9/2020,Speed_K,518.6672713
125,8/9/2020,Walk_K,3342.760877
126,8/10/2020,500_K,154297.2768
127,8/10/2020,Amber_K,2054.338486
128,8/10/2020,Athena,2880.660728000001
129,8/10/2020,ColorPhone_K,126834.0922
130,8/10/2020,DogRaise_K,10198.89475
131,8/10/2020,FastClear_K,45196.99173
132,8/10/2020,Mars_K,160312.2575
133,8/10/2020,Normandy_K,70308.45337
134,8/10/2020,Optimizer_K,238382.4203
135,8/10/2020,PrivacyPowerPro_K,145728.3306
136,8/10/2020,Rat_K,11067.57056
137,8/10/2020,Space_K,356492.3779
138,8/10/2020,Speed_K,593.8250706
139,8/10/2020,Walk_K,3551.064509000001
140,8/11/2020,500_K,146595.0038
141,8/11/2020,Amber_K,1993.495816
142,8/11/2020,Athena,2882.384275
143,8/11/2020,ColorPhone_K,117569.2482
144,8/11/2020,DogRaise_K,9357.398679
145,8/11/2020,FastClear_K,42780.53883
146,8/11/2020,Mars_K,145958.4065
147,8/11/2020,Normandy_K,65340.170360000004
148,8/11/2020,Optimizer_K,220095.3927
149,8/11/2020,PrivacyPowerPro_K,144845.9016
150,8/11/2020,Rat_K,11426.51247
