date,bundle_id,pay
2020-04-01,com.boost.clean.coin.cn,1469.0
2020-04-01,com.cyqxx.puzzle.idiom.cn,3519.0
2020-04-01,com.diamond.coin.cn,1466.0
2020-04-01,com.dograise.richman.cn,1875.0
2020-04-01,com.normandy.booster.cn,0.0
2020-04-01,com.oneapp.max.security.pro.cn,0.0
2020-04-01,com.rat.countmoney.cn,2586.0
2020-04-01,com.shoujizhuanzhuan.cn,0.0
2020-04-01,com.walk.sports.cn,2048.0
2020-04-02,com.boost.clean.coin.cn,1737.0
2020-04-02,com.cyqxx.puzzle.idiom.cn,3469.0
2020-04-02,com.diamond.coin.cn,1070.0
2020-04-02,com.dograise.richman.cn,2024.0
2020-04-02,com.normandy.booster.cn,0.0
2020-04-02,com.oneapp.max.security.pro.cn,0.0
2020-04-02,com.rat.countmoney.cn,2321.0
2020-04-02,com.shoujizhuanzhuan.cn,0.0
2020-04-02,com.walk.sports.cn,2396.0
2020-04-03,com.boost.clean.coin.cn,1787.0
2020-04-03,com.cyqxx.puzzle.idiom.cn,3645.0
2020-04-03,com.diamond.coin.cn,1299.0
2020-04-03,com.dograise.richman.cn,1840.0
2020-04-03,com.normandy.booster.cn,0.0
2020-04-03,com.oneapp.max.security.pro.cn,0.0
2020-04-03,com.rat.countmoney.cn,2248.0
2020-04-03,com.shoujizhuanzhuan.cn,0.0
2020-04-03,com.walk.sports.cn,2569.0
2020-04-04,com.boost.clean.coin.cn,1521.0
2020-04-04,com.cyqxx.puzzle.idiom.cn,3779.0
2020-04-04,com.diamond.coin.cn,1168.0
2020-04-04,com.dograise.richman.cn,2189.0
2020-04-04,com.normandy.booster.cn,0.0
2020-04-04,com.oneapp.max.security.pro.cn,3.0
2020-04-04,com.rat.countmoney.cn,2237.0
2020-04-04,com.shoujizhuanzhuan.cn,0.0
2020-04-04,com.walk.sports.cn,2776.0
2020-04-05,com.boost.clean.coin.cn,1916.0
2020-04-05,com.cyqxx.puzzle.idiom.cn,3316.0
2020-04-05,com.diamond.coin.cn,1344.0
2020-04-05,com.dograise.richman.cn,1656.0
2020-04-05,com.normandy.booster.cn,0.0
2020-04-05,com.oneapp.max.security.pro.cn,0.0
2020-04-05,com.rat.countmoney.cn,1689.0
